nama_provinsi,bps_nama_kabupaten_kota,lokasi,jumlah_jukir,satuan,tahun,Latittude,Longitude
JAWA BARAT,KOTA BANDUNG,JL. DEWI SARTIKA,17,ORANG,2021,-6.92499,107.60613
JAWA BARAT,KOTA BANDUNG,JL. KEBONJATI,20,ORANG,2021,-6.91637,107.59641
JAWA BARAT,KOTA BANDUNG,JL. IBU INGGIT GARNASIH ( JL. CIATEUL ),4,ORANG,2021,-6.93193,107.60719
JAWA BARAT,KOTA BANDUNG,JL. ALKATERI,5,ORANG,2021,-6.91987,107.60519
JAWA BARAT,KOTA BANDUNG,JL. PASAR BARAT,5,ORANG,2021,-6.91743,107.60301
JAWA BARAT,KOTA BANDUNG,JL. KASMIN,1,ORANG,2021,-6.92125,107.59971
JAWA BARAT,KOTA BANDUNG,JL. STASIUN TIMUR,1,ORANG,2021,-6.91571,107.60011
JAWA BARAT,KOTA BANDUNG,JL. PANJUNAN,4,ORANG,2021,-6.92212,107.60064
JAWA BARAT,KOTA BANDUNG,JL. KARANG ANYAR,1,ORANG,2021,-6.92097,107.59961
JAWA BARAT,KOTA BANDUNG,JL. BABATAN,1,ORANG,2021,-6.92461,107.60200
JAWA BARAT,KOTA BANDUNG,JL. BELAKANG PASAR,7,ORANG,2021,-6.91921,107.60443
JAWA BARAT,KOTA BANDUNG,JL. KEJAKSAAN,3,ORANG,2021,-6.92132,107.60678
JAWA BARAT,KOTA BANDUNG,JL. OTTO ISKANDARDINATA,46,ORANG,2021,-6.92315,107.60422
JAWA BARAT,KOTA BANDUNG,JL. SA AD,7,ORANG,2021,-6.93282,107.60333
JAWA BARAT,KOTA BANDUNG,JL. KH. WAHID HASYIM (KOPO),22,ORANG,2021,-6.93608,107.59664
JAWA BARAT,KOTA BANDUNG,JL. LENGKONG BESAR,18,ORANG,2021,-6.92724,107.61006
JAWA BARAT,KOTA BANDUNG,JL. VETERAN,12,ORANG,2021,-6.91796,107.61054
JAWA BARAT,KOTA BANDUNG,JL. KALIPAH APO,13,ORANG,2021,-6.92429,107.60101
JAWA BARAT,KOTA BANDUNG,JL. ABC,15,ORANG,2021,-6.91979,107.60539
JAWA BARAT,KOTA BANDUNG,JL. MOCHAMAD TOHA,18,ORANG,2021,-6.93582,107.60803
JAWA BARAT,KOTA BANDUNG,JL. KEBON KAWUNG,8,ORANG,2021,-6.91264,107.59903
JAWA BARAT,KOTA BANDUNG,JL. BAPA SUPI,1,ORANG,2021,-6.92056,107.59778
JAWA BARAT,KOTA BANDUNG,JL. PALEDANG,1,ORANG,2021,-6.92524,107.59869
